,AGE,NUM_OF_BASKETS,RACE_LE,GENDER_LE,BODY_SIZE_LE,WITH_KIDS_LE,KIDS_CATEGORY_LE,BASKET_SIZE_LE,BASKET_COLOUR_LE,ATTIRE_LE,SHIRT_COLOUR_LE,SHIRT_TYPE_LE,PANTS_COLOUR_LE,PANTS_TYPE_LE,WASH_ITEM_LE,WASHER_NO_LE,DRYER_NO_LE,SPECTACLES_LE,DAY_LE,DAY_TYPE_LE
64,49.0,2.0,2,1,1,0,1,1,9,1,2,0,0,0,1,3,3,1,5,0
65,42.0,2.0,3,1,2,0,1,0,8,0,3,0,0,0,0,1,1,0,5,0
66,45.0,2.0,3,0,1,0,1,0,6,1,9,0,0,0,0,0,0,0,5,0
67,30.0,39.0,2,0,2,0,1,0,9,0,0,1,12,1,1,3,0,0,6,0
68,44.0,1.0,2,0,0,0,1,1,1,0,2,1,12,1,1,1,1,0,6,0
69,54.0,3.0,0,0,1,0,1,0,9,0,2,1,0,0,1,0,0,0,6,0
70,43.0,2.0,0,0,2,0,1,0,10,0,5,1,12,0,1,0,1,0,6,0
71,32.0,39.0,3,1,2,0,1,0,9,0,3,1,2,0,1,1,1,1,6,0
72,29.0,1.0,3,0,1,0,1,0,8,0,5,1,5,0,1,2,1,0,6,0
73,40.0,3.0,0,1,2,0,1,1,9,0,9,1,0,0,1,0,2,1,6,0
74,31.0,3.0,0,0,2,0,1,0,9,0,0,1,7,0,1,2,1,0,6,0
75,31.0,2.0,3,0,2,0,1,0,8,0,2,0,0,0,1,2,3,0,6,0
76,54.0,2.0,0,1,2,0,1,1,9,0,9,1,0,0,1,0,1,0,6,0
77,39.0,1.0,3,0,2,0,1,0,8,0,10,0,0,0,1,3,3,0,6,0
78,39.0,2.0,3,1,1,0,1,1,9,0,4,1,2,0,1,2,0,0,6,0
79,45.0,2.0,0,0,0,0,1,0,1,0,5,0,12,0,1,0,3,1,6,0
80,38.0,1.0,3,0,1,1,2,0,9,0,5,1,0,0,1,0,0,0,6,0
81,48.0,1.0,3,0,1,1,4,0,1,2,4,0,12,0,1,2,2,1,6,0
82,39.0,1.0,0,0,2,0,1,0,0,0,9,1,5,1,1,0,2,0,6,0
83,42.0,1.0,3,0,1,1,2,0,1,0,8,0,10,0,0,1,1,0,6,0
84,53.0,2.0,3,0,1,0,1,1,9,0,2,1,13,1,1,1,2,0,6,0
85,40.0,1.0,3,0,0,0,1,0,9,0,3,0,5,0,1,3,1,0,6,0
86,53.0,2.0,3,0,1,0,1,0,9,2,8,0,10,0,1,1,0,1,6,0
87,49.0,39.0,2,1,0,0,1,0,0,0,0,1,2,0,1,0,0,0,6,0
88,52.0,39.0,3,1,2,0,1,0,0,2,10,0,5,0,1,3,3,0,6,0
89,32.0,1.0,3,1,2,0,1,0,9,0,0,1,0,0,1,3,1,0,6,0
90,34.0,1.0,0,1,1,0,1,0,1,0,10,1,11,1,1,2,2,1,6,0
