,Features,Score
0,AGE,1.0
1,RACE_LE,1.0
17,DAY_LE,1.0
16,SPECTACLES_LE,1.0
15,DRYER_NO_LE,1.0
14,WASHER_NO_LE,1.0
13,WASH_ITEM_LE,1.0
12,PANTS_TYPE_LE,1.0
11,PANTS_COLOUR_LE,1.0
9,SHIRT_COLOUR_LE,1.0
8,ATTIRE_LE,1.0
7,BASKET_COLOUR_LE,1.0
6,BASKET_SIZE_LE,1.0
5,KIDS_CATEGORY_LE,1.0
3,BODY_SIZE_LE,1.0
2,GENDER_LE,1.0
4,WITH_KIDS_LE,0.67
10,SHIRT_TYPE_LE,0.33
18,DAY_TYPE_LE,0.0
